timestamp,avg_pnl,win_rate,total_trades,wins,losses,long_hybrid,long_exec,long_vwap,short_hybrid,short_exec,short_vwap,stop_r,target_r,trail_1r,trail_2r,trail_activation_r,trailing_distance
2026-03-08 01:06:48,0.0466,39.26,731,287,444,65,20,-2.0,35,20,1.5,1.0,2.0,False,False,1.5,1.5
2026-03-08 01:08:09,0.0892,45.9,549,252,297,55,30,-2.0,45,20,1.5,1.5,5.0,False,True,1.5,1.0
2026-03-08 01:09:36,0.0822,40.33,729,294,435,60,20,-1.0,40,30,1.5,1.5,2.0,True,True,1.0,1.0
2026-03-08 01:10:54,0.1526,32.54,252,82,170,75,40,-1.0,25,30,1.5,2.5,5.0,True,False,1.5,1.5
2026-03-08 01:12:30,0.1253,54.66,622,340,282,55,30,-1.0,45,25,1.5,2.0,2.0,False,False,1.5,2.0
2026-03-08 01:13:53,0.0453,29.49,651,192,459,60,20,-2.0,40,25,2.0,1.5,2.0,True,True,0.5,2.0
2026-03-08 01:15:09,0.0435,43.63,463,202,261,65,20,-1.5,35,15,1.0,1.5,3.0,False,True,0.5,1.5
2026-03-08 01:16:30,0.1132,41.67,348,145,203,65,30,-2.0,35,25,1.0,2.0,4.0,False,False,1.5,2.0
2026-03-08 01:17:44,0.0703,44.92,472,212,260,65,30,-1.0,35,25,2.0,1.5,2.0,False,True,0.5,1.5
2026-03-08 01:18:52,0.0765,50.16,311,156,155,70,50,-1.5,30,20,2.0,2.0,2.0,False,True,1.0,1.5
2026-03-08 01:20:06,0.0581,35.69,566,202,364,55,50,-1.0,45,25,1.0,1.0,4.0,False,True,1.0,2.0
2026-03-08 01:21:20,0.1686,39.13,460,180,280,60,30,-1.0,40,15,1.0,1.5,4.0,False,False,2.0,1.0
2026-03-08 01:22:36,0.1655,50.73,343,174,169,65,50,-1.0,35,30,1.0,2.5,4.0,False,True,1.0,2.0
2026-03-08 01:23:41,0.1904,54.32,243,132,111,75,40,-2.0,25,15,1.5,2.5,3.0,False,False,0.5,2.0
2026-03-08 01:24:46,0.0259,30.62,418,128,290,75,20,-1.0,25,30,1.0,1.5,5.0,True,True,0.5,2.0
2026-03-08 01:25:41,0.0479,19.55,179,35,144,80,40,-1.0,20,15,1.5,1.0,5.0,True,False,0.5,1.0
2026-03-08 01:26:42,0.0308,37.47,435,163,272,75,50,-2.0,25,30,2.0,1.0,2.0,True,True,1.5,1.0
2026-03-08 01:27:50,0.1534,53.67,300,161,139,70,30,-1.0,30,30,1.0,2.5,3.0,False,False,0.5,2.0
2026-03-08 01:29:07,0.1738,47.88,330,158,172,60,20,-2.0,40,20,1.5,2.5,4.0,False,False,1.0,1.5
2026-03-08 01:30:21,0.057,44.16,514,227,287,55,40,-2.0,45,25,1.5,1.5,3.0,False,True,1.5,1.5
2026-03-08 01:31:29,0.0986,58.22,450,262,188,65,40,-1.5,35,15,1.0,2.5,2.0,False,False,2.0,1.5
2026-03-08 01:32:36,0.1474,48.84,215,105,110,75,20,-1.5,25,25,1.5,2.5,4.0,False,False,1.0,1.0
2026-03-08 01:33:50,0.1272,46.13,362,167,195,65,20,-1.5,35,20,2.0,2.0,5.0,True,True,2.0,2.0
2026-03-08 01:34:59,0.0445,37.85,613,232,381,60,40,-2.0,40,15,1.5,1.0,3.0,False,True,1.0,1.0
2026-03-08 01:36:03,0.0469,33.9,472,160,312,70,30,-1.5,30,20,1.5,1.0,3.0,False,False,1.5,1.5
2026-03-08 01:36:58,-0.0044,54.55,121,66,55,80,20,-2.0,20,20,2.0,2.5,3.0,False,True,0.5,1.0
2026-03-08 01:38:08,0.1406,35.2,250,88,162,70,20,-2.0,30,20,1.5,2.5,5.0,True,False,2.0,2.0
2026-03-08 01:39:15,0.0333,31.33,798,250,548,65,20,-1.0,35,15,2.0,1.0,4.0,True,True,0.5,1.0
2026-03-08 01:40:19,0.0697,49.09,330,162,168,75,20,-1.0,25,30,2.0,2.0,2.0,True,True,1.5,1.0
2026-03-08 01:41:35,0.1532,33.42,389,130,259,55,50,-1.5,45,25,1.0,1.5,5.0,False,False,2.0,2.0
2026-03-08 01:42:29,-0.0144,48.85,131,64,67,80,20,-2.0,20,20,1.0,2.5,5.0,True,True,1.0,1.5
2026-03-08 01:43:41,0.1605,43.94,462,203,259,55,30,-2.0,45,25,1.5,2.5,3.0,True,False,1.5,1.5
2026-03-08 01:44:52,0.0825,30.45,335,102,233,65,50,-2.0,35,15,1.0,2.5,5.0,True,False,1.5,1.5
2026-03-08 01:46:05,0.1188,26.71,468,125,343,60,20,-1.5,40,15,2.0,1.0,5.0,False,False,1.0,1.0
2026-03-08 01:46:59,0.0098,33.33,162,54,108,80,30,-1.0,20,30,2.0,1.5,3.0,True,False,1.0,1.0
2026-03-08 01:48:09,0.0494,44.77,507,227,280,65,30,-2.0,35,30,1.0,1.5,5.0,False,True,1.0,1.0
2026-03-08 01:49:05,0.176,44.04,109,48,61,80,20,-1.5,20,25,1.0,2.0,4.0,False,False,2.0,1.5
2026-03-08 01:50:08,0.1189,44.29,280,124,156,75,20,-2.0,25,20,2.0,2.5,3.0,True,False,1.5,2.0
2026-03-08 01:51:06,0.2078,40.0,100,40,60,80,50,-2.0,20,30,2.0,2.0,5.0,False,False,0.5,1.0
2026-03-08 01:52:01,0.0623,22.78,158,36,122,80,30,-1.0,20,25,2.0,1.0,5.0,True,False,1.0,1.5
2026-03-08 01:52:53,-0.0208,25.24,206,52,154,80,50,-2.0,20,30,2.0,1.0,3.0,True,False,0.5,1.0
2026-03-08 01:54:03,0.0366,38.3,658,252,406,60,50,-2.0,40,30,2.0,1.0,2.0,False,True,1.5,1.0
2026-03-08 01:55:15,0.1008,41.64,538,224,314,55,40,-1.5,45,25,1.5,1.5,3.0,False,False,1.5,1.0
2026-03-08 01:56:24,0.0386,36.16,567,205,362,65,40,-2.0,35,20,1.5,1.0,5.0,True,True,1.5,1.5
2026-03-08 01:57:32,0.1096,27.59,348,96,252,70,20,-1.0,30,30,1.0,2.0,5.0,True,False,1.0,1.0
2026-03-08 01:58:35,0.0748,49.04,469,230,239,70,20,-1.0,30,30,2.0,1.5,2.0,False,False,2.0,1.5
2026-03-08 01:59:29,0.0553,43.18,132,57,75,80,40,-1.0,20,15,2.0,1.5,3.0,False,False,0.5,2.0
2026-03-08 02:00:38,0.0863,53.1,484,257,227,65,30,-1.5,35,15,2.0,2.0,2.0,False,False,0.5,1.5
2026-03-08 02:01:37,0.0189,32.26,654,211,443,75,50,-1.5,25,15,2.0,1.0,2.0,True,False,0.5,2.0
2026-03-08 02:02:51,0.0393,31.19,622,194,428,60,40,-2.0,40,25,1.5,1.0,3.0,True,True,1.0,2.0
2026-03-08 02:03:46,0.1356,37.72,114,43,71,80,40,-2.0,20,25,2.0,2.0,4.0,True,False,2.0,1.5
2026-03-08 02:04:40,-0.0243,39.41,170,67,103,80,30,-1.0,20,20,1.0,1.0,5.0,True,True,1.5,1.5
2026-03-08 02:05:47,0.0189,50.0,356,178,178,70,30,-1.0,30,30,1.0,2.5,5.0,True,True,1.5,1.0
2026-03-08 02:06:53,0.0308,44.2,362,160,202,70,20,-2.0,30,25,1.5,1.5,4.0,False,True,1.5,1.5
2026-03-08 02:08:03,0.0602,42.57,545,232,313,55,50,-2.0,45,20,2.0,2.0,3.0,True,True,1.0,1.0
2026-03-08 02:09:12,0.1164,36.33,556,202,354,65,30,-1.5,35,30,1.0,2.0,3.0,True,False,1.0,2.0
2026-03-08 02:10:18,0.0727,54.12,255,138,117,75,20,-2.0,25,25,2.0,2.5,3.0,False,True,1.5,1.5
2026-03-08 02:11:28,0.1354,59.5,516,307,209,55,30,-1.0,45,20,2.0,2.5,2.0,False,False,0.5,1.5
2026-03-08 02:12:24,-0.0117,46.15,104,48,56,80,40,-2.0,20,25,2.0,2.5,4.0,False,True,1.5,2.0
2026-03-08 02:13:23,0.0224,36.07,560,202,358,75,30,-2.0,25,25,2.0,1.5,2.0,True,False,0.5,2.0
2026-03-08 02:14:38,0.1366,46.54,361,168,193,60,50,-1.5,40,15,2.0,2.0,3.0,True,True,2.0,2.0
2026-03-08 02:15:44,0.0369,34.59,399,138,261,70,20,-1.5,30,15,2.0,1.0,5.0,True,True,2.0,2.0
2026-03-08 02:16:55,0.099,41.34,508,210,298,60,40,-2.0,40,25,1.0,1.5,3.0,False,False,1.5,2.0
2026-03-08 02:17:51,-0.0117,46.15,104,48,56,80,50,-2.0,20,20,2.0,2.5,3.0,False,True,2.0,2.0
2026-03-08 02:19:03,0.0526,38.1,622,237,385,55,50,-1.0,45,30,2.0,1.5,3.0,True,True,1.0,1.5
2026-03-08 02:20:11,0.0589,40.44,821,332,489,55,40,-1.5,45,20,1.5,1.0,2.0,False,False,2.0,1.5
2026-03-08 02:21:19,0.0732,41.06,889,365,524,60,30,-1.0,40,30,2.0,1.0,2.0,False,False,1.0,1.5
2026-03-08 02:22:21,0.053,32.36,411,133,278,75,50,-2.0,25,30,1.5,1.5,3.0,True,False,1.0,2.0
2026-03-08 02:23:26,0.0849,53.09,307,163,144,75,40,-1.0,25,30,2.0,2.0,5.0,False,True,0.5,1.0
2026-03-08 02:24:39,0.0637,53.77,411,221,190,55,50,-2.0,45,30,1.5,2.5,4.0,True,True,2.0,1.0
2026-03-08 02:25:35,-0.0347,41.59,113,47,66,80,40,-2.0,20,15,1.0,2.5,4.0,True,True,1.5,2.0
2026-03-08 02:26:46,0.0725,39.14,700,274,426,55,30,-1.0,45,15,2.0,1.0,5.0,False,True,1.0,1.0
2026-03-08 02:27:52,0.0699,40.52,775,314,461,65,40,-1.0,35,20,1.0,1.0,2.0,False,False,2.0,2.0
2026-03-08 02:29:03,0.0534,44.27,454,201,253,65,50,-2.0,35,30,1.0,2.5,2.0,True,True,1.0,1.5
2026-03-08 02:30:13,0.0568,36.13,382,138,244,65,50,-2.0,35,15,2.0,1.5,4.0,False,False,1.5,1.5
2026-03-08 02:31:18,0.0473,25.9,417,108,309,70,40,-1.5,30,15,1.5,2.0,4.0,True,False,0.5,2.0
2026-03-08 02:32:12,0.002,43.62,149,65,84,80,30,-1.0,20,15,2.0,1.5,3.0,True,True,1.5,1.0
2026-03-08 02:33:22,0.0858,25.22,690,174,516,55,30,-1.5,45,20,2.0,1.0,4.0,True,False,1.0,1.0
2026-03-08 02:34:35,0.0933,54.34,403,219,184,55,30,-2.0,45,15,1.5,2.5,2.0,True,True,2.0,1.0
2026-03-08 02:35:49,0.0719,44.53,512,228,284,60,40,-1.5,40,30,1.5,1.5,5.0,False,True,0.5,1.5
2026-03-08 02:37:09,0.3008,45.3,287,130,157,60,50,-1.0,40,30,1.0,2.5,5.0,False,False,1.5,2.0
2026-03-08 02:38:14,0.0335,22.25,382,85,297,70,30,-2.0,30,25,2.0,1.0,5.0,True,False,1.5,1.0
2026-03-08 02:39:19,0.0418,25.83,422,109,313,70,50,-1.5,30,25,1.0,2.0,4.0,True,False,0.5,2.0
2026-03-08 02:40:14,-0.0183,45.71,105,48,57,80,20,-2.0,20,15,1.0,2.5,5.0,False,True,1.0,2.0
2026-03-08 02:41:31,0.1106,42.98,477,205,272,55,30,-1.0,45,20,1.0,1.5,4.0,False,True,1.0,2.0
2026-03-08 02:42:39,0.2422,40.54,222,90,132,75,30,-1.0,25,30,2.0,2.0,5.0,False,False,1.0,1.5
2026-03-08 02:43:47,0.0768,52.71,480,253,227,60,50,-2.0,40,15,2.0,2.0,2.0,False,False,1.0,1.0
2026-03-08 02:44:50,0.0249,38.24,455,174,281,70,50,-2.0,30,30,2.0,1.0,3.0,False,True,0.5,1.0
2026-03-08 02:46:06,0.0772,37.09,585,217,368,55,20,-1.0,45,25,1.5,1.0,4.0,True,True,2.0,2.0
2026-03-08 02:47:10,0.0274,28.68,401,115,286,70,30,-2.0,30,20,1.5,1.0,4.0,False,False,0.5,1.0
2026-03-08 02:48:16,0.0499,25.31,324,82,242,75,30,-1.5,25,30,1.0,1.0,5.0,False,False,1.5,2.0
2026-03-08 02:49:28,0.1202,22.58,620,140,480,60,30,-1.0,40,20,1.0,1.0,5.0,True,False,1.0,1.0
2026-03-08 02:50:36,0.1245,47.29,258,122,136,75,30,-2.0,25,20,1.0,2.0,5.0,False,True,0.5,2.0
2026-03-08 02:51:46,0.0997,22.84,486,111,375,55,40,-2.0,45,15,2.0,2.0,5.0,True,False,0.5,1.5
2026-03-08 02:52:55,0.0782,31.63,569,180,389,65,20,-2.0,35,30,1.5,2.5,3.0,True,False,0.5,2.0
2026-03-08 02:54:05,0.0445,27.84,668,186,482,65,20,-1.0,35,25,2.0,1.0,3.0,True,True,0.5,2.0
2026-03-08 02:55:18,0.0743,35.02,514,180,334,65,30,-1.0,35,20,1.0,2.5,5.0,True,True,0.5,2.0
2026-03-08 02:56:13,-0.021,55.56,117,65,52,80,40,-1.5,20,30,1.0,2.5,2.0,False,True,1.5,1.5
2026-03-08 02:57:06,0.0219,23.53,187,44,143,80,50,-1.5,20,25,2.0,1.0,4.0,True,False,0.5,2.0
2026-03-08 02:58:00,0.0928,31.47,143,45,98,80,40,-1.5,20,15,1.5,1.0,4.0,False,False,1.0,1.0
2026-03-08 02:59:05,0.0611,28.32,392,111,281,70,50,-1.0,30,20,1.5,2.5,4.0,True,False,0.5,1.5
2026-03-08 03:00:17,0.0665,50.0,412,206,206,65,20,-2.0,35,30,2.0,2.0,5.0,False,True,1.0,1.0
2026-03-08 03:01:22,0.0541,40.17,722,290,432,65,50,-1.0,35,15,2.0,1.0,2.0,True,False,2.0,2.0
2026-03-08 03:02:32,0.1357,56.03,539,302,237,55,20,-2.0,45,20,1.5,2.5,2.0,True,False,1.5,2.0
2026-03-08 03:03:27,-0.0117,46.15,104,48,56,80,20,-2.0,20,25,2.0,2.5,4.0,False,True,0.5,2.0
2026-03-08 03:04:38,0.0933,35.56,613,218,395,60,20,-2.0,40,30,1.0,1.5,3.0,True,False,1.5,2.0
2026-03-08 03:05:42,0.0318,44.55,330,147,183,75,20,-2.0,25,25,1.0,1.5,5.0,False,True,0.5,1.5
2026-03-08 03:06:47,0.0195,37.97,424,161,263,70,50,-2.0,30,15,1.5,1.0,2.0,True,True,2.0,1.5
2026-03-08 03:07:56,0.0732,41.06,889,365,524,60,20,-1.0,40,25,2.0,1.0,2.0,False,False,2.0,1.5
2026-03-08 03:09:00,0.1109,36.54,260,95,165,75,40,-2.0,25,25,2.0,2.5,4.0,True,False,1.5,1.0
2026-03-08 03:10:11,0.078,50.79,441,224,217,65,20,-1.0,35,15,1.5,2.5,2.0,True,True,1.5,1.0
2026-03-08 03:11:26,0.1183,49.53,422,209,213,60,20,-2.0,40,25,2.0,2.0,4.0,False,True,0.5,1.5
2026-03-08 03:12:35,0.1091,49.23,260,128,132,70,40,-2.0,30,20,1.5,2.5,5.0,False,True,2.0,2.0
2026-03-08 03:13:42,0.0753,45.34,633,287,346,65,40,-1.0,35,15,1.0,1.5,2.0,True,False,1.5,1.5
2026-03-08 03:14:50,0.0502,55.7,316,176,140,70,40,-1.0,30,20,1.5,2.5,3.0,False,True,0.5,1.0
2026-03-08 03:15:59,0.0694,46.47,510,237,273,65,40,-1.0,35,20,2.0,1.5,4.0,False,True,0.5,1.0
2026-03-08 03:17:06,0.0699,30.86,593,183,410,65,20,-1.5,35,15,2.0,2.0,3.0,True,False,0.5,2.0
2026-03-08 03:18:17,0.0536,38.32,561,215,346,65,30,-1.0,35,20,2.0,1.0,4.0,False,True,1.5,1.5
2026-03-08 03:19:22,0.0515,38.65,771,298,473,65,50,-1.0,35,15,1.0,1.0,2.0,True,False,1.5,1.5
2026-03-08 03:20:31,0.1193,33.9,593,201,392,65,30,-1.0,35,25,1.5,2.5,3.0,True,False,0.5,2.0
2026-03-08 03:21:35,0.0244,38.03,476,181,295,70,20,-2.0,30,20,1.0,1.0,3.0,False,True,1.0,1.0
2026-03-08 03:22:40,0.0378,45.23,398,180,218,70,50,-1.5,30,25,1.5,1.5,4.0,False,True,1.5,1.0
2026-03-08 03:23:53,0.0894,51.3,462,237,225,65,30,-1.0,35,20,1.0,2.0,5.0,False,True,1.5,1.0
2026-03-08 03:24:54,0.0246,35.1,490,172,318,75,40,-1.0,25,15,2.0,1.0,5.0,True,True,1.0,1.0
2026-03-08 03:25:58,0.1258,33.78,299,101,198,75,20,-1.0,25,20,1.0,2.0,4.0,True,False,1.5,2.0
2026-03-08 03:27:03,0.033,38.65,502,194,308,70,30,-1.0,30,30,1.0,1.0,3.0,False,True,0.5,1.0
2026-03-08 03:28:14,0.1636,43.56,225,98,127,70,30,-2.0,30,30,1.5,2.5,5.0,False,False,1.5,1.0
2026-03-08 03:29:28,0.1145,37.36,455,170,285,55,50,-1.5,45,30,1.0,1.5,4.0,False,False,0.5,1.0
2026-03-08 03:30:35,0.0409,50.58,342,173,169,70,30,-1.5,30,25,1.5,2.0,4.0,False,True,2.0,1.0
2026-03-08 03:31:29,0.0314,53.5,157,84,73,80,50,-1.5,20,20,1.0,2.5,2.0,True,False,1.5,1.5
2026-03-08 03:32:43,0.2124,53.91,358,193,165,65,30,-1.5,35,25,1.5,2.5,3.0,False,False,1.0,1.0
2026-03-08 03:33:55,0.0947,48.34,391,189,202,65,40,-2.0,35,30,1.5,2.5,5.0,True,True,1.5,1.5
2026-03-08 03:35:01,0.047,37.25,349,130,219,70,30,-2.0,30,30,1.5,2.0,5.0,True,True,1.0,2.0
2026-03-08 03:35:57,0.1123,27.94,136,38,98,80,30,-1.5,20,25,1.5,1.0,5.0,False,False,1.0,2.0
2026-03-08 03:37:02,0.0743,56.99,272,155,117,75,50,-2.0,25,30,1.0,2.5,4.0,False,True,1.5,1.0
2026-03-08 03:37:58,0.1366,36.44,118,43,75,80,30,-1.5,20,25,2.0,2.0,4.0,True,False,1.5,1.5
2026-03-08 03:39:00,0.0089,29.61,510,151,359,75,50,-1.5,25,25,1.5,1.0,5.0,True,True,0.5,1.5
2026-03-08 03:40:08,0.1421,51.06,235,120,115,75,30,-2.0,25,15,1.5,2.5,5.0,False,True,1.5,2.0
2026-03-08 03:41:16,0.1291,47.58,269,128,141,75,30,-1.0,25,25,1.0,2.0,2.0,False,True,1.0,2.0
2026-03-08 03:42:21,0.0182,33.53,519,174,345,70,40,-1.0,30,25,1.5,1.0,2.0,True,True,1.0,1.5
2026-03-08 03:43:27,0.1009,47.53,324,154,170,70,50,-1.5,30,15,1.5,2.0,3.0,False,False,0.5,1.5
2026-03-08 03:44:37,0.0545,45.84,493,226,267,65,40,-2.0,35,25,1.5,2.5,3.0,True,True,1.0,1.0
2026-03-08 03:45:41,0.0478,34.72,360,125,235,75,50,-2.0,25,15,1.0,1.0,3.0,False,True,0.5,2.0
2026-03-08 03:46:53,0.0773,48.33,389,188,201,65,20,-2.0,35,15,1.0,2.0,5.0,False,True,2.0,1.5
2026-03-08 03:47:47,-0.0302,37.5,168,63,105,80,50,-1.5,20,25,2.0,1.0,4.0,True,True,1.5,1.5
2026-03-08 03:48:52,0.0432,25.67,413,106,307,70,30,-1.5,30,30,2.0,2.0,4.0,True,False,0.5,1.0
2026-03-08 03:50:06,0.1154,45.59,454,207,247,55,30,-1.5,45,15,2.0,2.0,4.0,True,True,1.5,1.5
2026-03-08 03:51:06,0.036,28.3,470,133,337,75,40,-2.0,25,20,2.0,1.0,3.0,True,False,1.0,1.5
2026-03-08 03:52:11,0.0134,35.36,427,151,276,70,20,-2.0,30,25,2.0,2.0,4.0,True,True,0.5,1.5
2026-03-08 03:53:24,0.124,21.93,602,132,470,60,40,-1.0,40,30,2.0,1.5,5.0,True,False,0.5,1.5
2026-03-08 03:54:38,0.088,48.79,414,202,212,55,50,-1.0,45,15,1.0,2.5,3.0,True,True,1.5,1.5
2026-03-08 03:55:41,0.0543,46.13,362,167,195,75,50,-1.0,25,15,1.5,1.5,2.0,False,True,1.0,1.0
2026-03-08 03:56:46,0.1415,44.59,305,136,169,75,50,-1.0,25,15,1.5,2.0,3.0,True,False,2.0,2.0
2026-03-08 03:57:52,0.0461,36.74,860,316,544,65,30,-1.0,35,15,2.0,1.0,2.0,True,False,1.0,2.0
2026-03-08 03:59:00,0.0464,38.14,784,299,485,65,20,-1.5,35,30,1.0,2.0,2.0,True,False,0.5,2.0
2026-03-08 03:59:54,-0.0138,51.24,121,62,59,80,20,-2.0,20,25,1.5,2.0,5.0,False,True,1.0,1.5
2026-03-08 04:01:04,0.0994,57.46,456,262,194,65,30,-2.0,35,20,1.0,2.5,2.0,False,False,2.0,2.0
2026-03-08 04:02:16,0.069,22.88,507,116,391,60,50,-2.0,40,30,2.0,1.0,5.0,True,False,2.0,1.0
2026-03-08 04:03:30,0.0772,38.23,654,250,404,60,20,-1.0,40,25,2.0,1.5,4.0,True,True,1.0,1.5
2026-03-08 04:04:44,0.1984,31.94,360,115,245,60,30,-2.0,40,15,1.0,2.0,5.0,True,False,2.0,2.0
2026-03-08 04:06:00,0.1453,48.39,310,150,160,60,40,-1.5,40,15,1.5,2.5,4.0,False,False,1.0,1.0
2026-03-08 04:06:53,-0.015,29.41,170,50,120,80,40,-2.0,20,30,1.5,1.0,3.0,True,False,1.5,1.0
2026-03-08 04:08:06,0.0727,35.4,531,188,343,55,20,-2.0,45,15,1.0,1.0,3.0,False,True,2.0,2.0
2026-03-08 04:09:00,-0.0034,44.85,136,61,75,80,30,-2.0,20,15,2.0,2.5,2.0,True,True,1.0,1.0
2026-03-08 04:10:03,0.0131,29.75,521,155,366,75,40,-1.0,25,15,1.5,1.0,5.0,True,True,0.5,1.5
2026-03-08 04:11:12,0.118,53.98,528,285,243,65,50,-1.0,35,30,1.0,2.0,2.0,False,False,2.0,2.0
2026-03-08 04:12:26,0.1193,49.28,416,205,211,55,30,-2.0,45,15,1.0,2.0,3.0,False,True,2.0,1.5
2026-03-08 04:13:35,0.0893,49.11,617,303,314,60,20,-2.0,40,30,2.0,2.5,2.0,True,False,1.0,1.0
2026-03-08 04:14:47,0.0539,43.92,485,213,272,65,20,-1.5,35,20,1.0,1.5,3.0,False,True,1.5,1.5
2026-03-08 04:15:57,0.0703,39.01,646,252,394,60,20,-1.5,40,15,1.5,1.5,4.0,True,True,1.0,1.0
2026-03-08 04:17:13,0.2291,39.19,296,116,180,65,50,-1.0,35,15,2.0,2.0,5.0,False,False,0.5,1.5
2026-03-08 04:18:29,0.1508,44.05,420,185,235,60,30,-1.5,40,20,1.5,2.0,4.0,True,True,1.5,2.0
2026-03-08 04:19:33,0.0344,44.91,334,150,184,75,50,-1.0,25,30,2.0,1.5,3.0,False,True,1.0,1.5
2026-03-08 04:20:42,0.0665,32.33,665,215,450,60,30,-2.0,40,30,2.0,1.5,3.0,True,False,1.0,2.0
2026-03-08 04:21:36,0.0338,53.25,154,82,72,80,30,-2.0,20,25,1.0,2.0,2.0,True,False,2.0,2.0
2026-03-08 04:22:40,0.1109,36.54,260,95,165,75,40,-2.0,25,25,2.0,2.5,4.0,True,False,1.5,1.0
2026-03-08 04:23:52,0.0631,35.21,497,175,322,65,50,-1.5,35,20,1.5,1.0,2.0,False,True,0.5,2.0
2026-03-08 04:24:47,-0.0153,37.21,129,48,81,80,20,-1.0,20,20,1.5,2.0,3.0,True,True,1.0,2.0
2026-03-08 04:26:00,0.0831,42.78,533,228,305,60,40,-1.0,40,20,1.5,1.5,4.0,True,True,1.5,1.5
2026-03-08 04:27:21,0.2801,44.7,302,135,167,55,20,-1.0,45,30,1.5,2.5,5.0,False,False,0.5,1.5
2026-03-08 04:28:24,0.0131,29.75,521,155,366,75,20,-1.0,25,25,1.5,1.0,4.0,True,True,0.5,1.5
2026-03-08 04:29:33,0.0963,49.21,254,125,129,70,30,-2.0,30,30,2.0,2.5,4.0,False,True,1.0,2.0
2026-03-08 04:30:41,0.0921,32.39,565,183,382,65,30,-1.5,35,20,2.0,2.5,3.0,True,False,0.5,1.0
2026-03-08 04:31:48,0.0229,50.29,342,172,170,70,40,-1.0,30,20,2.0,2.5,4.0,True,True,1.5,1.0
2026-03-08 04:33:01,0.0702,34.38,573,197,376,60,30,-1.5,40,20,1.0,1.0,3.0,True,True,1.5,2.0
2026-03-08 04:34:11,0.0825,47.89,664,318,346,60,40,-1.5,40,30,1.5,1.5,2.0,False,False,1.5,1.5
2026-03-08 04:35:17,0.0766,33.43,338,113,225,70,50,-1.5,30,30,1.5,2.5,4.0,True,False,1.0,1.5
2026-03-08 04:36:29,0.0764,55.14,399,220,179,65,20,-1.5,35,20,1.5,2.5,4.0,False,True,1.0,1.0
2026-03-08 04:37:49,0.281,44.71,293,131,162,55,20,-1.0,45,15,1.5,2.5,5.0,False,False,2.0,2.0
2026-03-08 04:38:46,0.1667,31.9,116,37,79,80,40,-1.0,20,25,1.5,2.5,5.0,True,False,1.0,1.5
2026-03-08 04:39:53,0.1965,36.16,224,81,143,75,30,-1.5,25,20,1.0,2.5,5.0,True,False,2.0,1.5
2026-03-08 04:41:03,0.0657,39.37,635,250,385,65,40,-1.0,35,20,1.5,1.0,2.0,False,True,0.5,1.0
2026-03-08 04:42:09,0.0686,41.55,296,123,173,75,30,-1.5,25,20,2.0,1.5,5.0,False,True,1.0,2.0
2026-03-08 04:43:25,0.1455,50.11,457,229,228,60,30,-1.0,40,25,1.5,2.0,4.0,False,True,1.0,1.5
2026-03-08 04:44:37,0.0384,27.88,728,203,525,60,20,-2.0,40,25,2.0,1.0,3.0,True,True,0.5,2.0
2026-03-08 04:45:44,0.1666,49.31,217,107,110,75,50,-1.5,25,15,1.0,2.5,4.0,False,False,0.5,2.0
2026-03-08 04:46:56,0.0614,33.33,696,232,464,60,30,-1.0,40,15,2.0,1.5,4.0,True,True,0.5,1.5
2026-03-08 04:48:03,0.0611,53.6,278,149,129,70,20,-2.0,30,25,2.0,2.5,4.0,False,True,2.0,1.5
2026-03-08 04:48:56,-0.0098,32.73,165,54,111,80,50,-1.0,20,20,2.0,1.0,3.0,False,False,1.5,1.5
2026-03-08 04:50:06,0.0374,30.07,725,218,507,65,20,-1.0,35,15,1.5,1.0,4.0,True,True,0.5,1.5
