timestamp,trial_number,composite_score,avg_profit_factor,avg_win_rate,avg_drawdown,avg_pnl,avg_total_return,total_trades,long_hybrid,long_exec,long_vwap,dip_hybrid,dip_exec,dip_vwap,long_delta_min,dip_delta_max,stop_r,target_r,dip_stop_r,dip_target_r,risk_per_trade,max_hold_trading_days,ticker_cooldown_days,loss_cooldown_threshold,ticker_cooldown_extended_days
2026-03-24 10:15:01,402,1.7265,4.06,61.01,2.88,0.5368,42.29,287,66.0,48.0,1.5,69.0,30.0,0.5,0.63,0.3399999999999999,3.5,4.0,2.0,2.0,0.07,11,3,1.5,17
2026-03-24 08:46:53,345,1.7115,4.349,65.01,3.57,0.5547,40.341,262,62.0,42.0,-0.5,71.0,35.0,0.0,0.62,0.3399999999999999,3.0,3.5,2.0,2.0,0.07,10,3,1.75,14
2026-03-24 02:06:01,86,1.5648,4.205,68.6,2.95,0.4763,39.832,291,73.0,52.0,2.0,80.0,28.0,2.0,0.53,0.53,4.0,4.5,2.5,1.0,0.05,10,5,0.75,13
2026-03-24 09:15:27,364,1.5579,3.111,62.22,3.17,0.4923,40.634,306,64.0,51.0,2.0,70.0,43.0,2.0,0.51,0.4,4.0,4.5,2.5,1.5,0.08,12,2,2.0,11
2026-03-24 03:35:57,145,1.5199,3.544,62.87,2.56,0.4683,41.287,303,66.0,53.0,3.0,68.0,34.0,1.0,0.49,0.33,4.0,4.5,2.5,1.0,0.05,9,3,1.25,15
2026-03-24 03:34:50,144,1.4951,4.872,66.93,2.76,0.5715,38.059,248,65.0,55.0,1.0,76.0,41.0,1.0,0.55,0.29,4.0,4.5,2.5,1.0,0.06,11,3,1.25,16
2026-03-24 17:08:48,665,1.4761,3.347,64.06,3.61,0.4571,46.685,353,65.0,43.0,0.0,70.0,41.0,0.5,0.5900000000000001,0.37,3.5,4.0,3.0,2.5,0.06,7,1,3.0,15
2026-03-24 12:22:30,483,1.4279,3.396,64.35,2.67,0.3995,33.71,310,62.0,51.0,3.5,80.0,28.0,-1.5,0.49,0.48,4.0,4.5,2.5,1.5,0.06,12,2,0.5,9
2026-03-24 13:39:08,532,1.4173,3.711,62.29,4.83,0.5071,34.645,255,62.0,43.0,-1.0,74.0,37.0,0.5,0.6,0.33,3.5,4.0,2.5,2.5,0.08,6,2,2.75,14
2026-03-24 14:45:47,574,1.4076,3.632,67.73,4.9,0.458,37.09,288,68.0,52.0,0.0,80.0,25.0,1.0,0.5800000000000001,0.39,4.0,5.0,3.0,1.5,0.06,5,4,1.0,8
2026-03-24 17:43:26,687,1.3829,2.644,59.52,5.04,0.4985,41.698,302,67.0,53.0,3.5,63.0,33.0,-3.0,0.46,0.3,4.0,4.5,1.5,2.0,0.07,5,5,0.75,13
2026-03-24 15:59:18,620,1.3682,2.86,63.23,5.96,0.4484,34.371,295,64.0,53.0,0.0,72.0,35.0,-1.5,0.5900000000000001,0.33,3.5,5.0,2.5,1.0,0.08,5,1,0.75,12
2026-03-24 06:27:33,256,1.3681,3.218,62.0,3.87,0.5039,41.886,286,62.0,51.0,1.5,70.0,41.0,2.0,0.51,0.33,4.0,4.5,2.5,1.5,0.07,11,2,2.5,14
2026-03-24 14:50:10,577,1.3461,3.552,65.45,4.29,0.4977,31.552,245,67.0,42.0,-1.5,77.0,31.0,0.5,0.6,0.33,3.5,4.0,2.5,2.0,0.07,6,1,2.75,16
2026-03-24 05:07:10,204,1.3354,3.292,58.9,3.22,0.4794,39.278,308,65.0,53.0,2.0,67.0,33.0,-1.0,0.5800000000000001,0.27,4.0,5.0,3.0,1.0,0.05,6,2,0.5,13
2026-03-24 01:13:40,52,1.3335,2.869,64.43,7.04,0.3916,37.726,367,62.0,49.0,1.0,76.0,27.0,1.5,0.53,0.35,4.0,5.0,3.0,1.0,0.05,4,4,1.0,10
2026-03-24 06:51:08,271,1.3117,3.405,61.2,3.18,0.4772,35.502,271,63.0,50.0,0.5,76.0,37.0,1.0,0.63,0.3399999999999999,3.5,4.0,2.0,2.0,0.08,9,3,2.25,13
2026-03-24 04:16:01,171,1.3115,7.261,61.69,4.1,0.5213,34.734,268,65.0,52.0,0.5,74.0,36.0,-3.0,0.5700000000000001,0.29,4.0,5.0,2.5,1.0,0.06,5,3,0.5,16
2026-03-24 16:03:01,623,1.2898,2.509,65.38,3.63,0.3481,31.891,352,62.0,53.0,1.0,76.0,26.0,-0.5,0.46,0.5,4.0,4.5,2.5,1.5,0.06,13,3,1.5,7
2026-03-24 20:13:36,782,1.2814,4.802,66.79,4.95,0.5451,29.666,220,62.0,53.0,-0.5,75.0,37.0,-2.0,0.5800000000000001,0.27,4.0,5.0,2.0,1.0,0.05,7,4,0.5,17
2026-03-24 01:53:39,78,1.2766,2.959,63.06,3.99,0.393,38.636,354,63.0,52.0,2.0,76.0,26.0,-1.5,0.53,0.45,4.0,4.5,2.5,1.0,0.06,8,2,0.5,10
2026-03-24 19:17:48,747,1.2753,2.701,58.65,6.56,0.45,38.06,313,63.0,47.0,2.0,72.0,39.0,1.5,0.55,0.31,4.0,4.5,2.5,2.0,0.07,11,2,2.25,18
